bank_name,reporting_date,demand_deposit_rate,savings_deposit_rate,time_deposit_rate
PREMIUM TRUST BANK,2026-03-20,,7.95,10.5
PROVIDUS BANK,2026-03-20,,7.95,15.0
RAND MERCHANT BANK NIG. LTD,2026-03-20,2.5,7.95,16.0
SIGNATURE BANK,2026-03-20,0.23,,17.04
STANBIC IBTC,2026-03-20,,7.95,12.43
STANDARD CHARTERED BANK,2026-03-20,0.48,2.65,10.01
STERLING BANK,2026-03-20,,8.1,12.35
SUNTRUST BANK,2026-03-20,0.33,7.95,16.21
TATUM BANK,2026-03-20,,8.1,15.2
UNITED BANK FOR AFRICA,2026-03-20,,7.95,14.96
UNION BANK,2026-03-20,0.04,8.1,14.75
UNITY BANK,2026-03-20,2.5,7.95,14.5
WEMA BANK,2026-03-20,4.5,7.95,10.0
ZENITH BANK,2026-03-20,1.49,7.95,10.71
