bank_name,sector,prime_rate,max_rate,reporting_date
CITI BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
CORONATION MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
ECOBANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
FBN QUEST MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",26.75,26.75,2026-01-02
FCMB,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
FIDELITY BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,36.0,2026-01-02
FSDH MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
GLOBUS BANK LTD,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
GREENWICH MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",31.0,33.0,2026-01-02
GUARANTY TRUST BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
KEYSTONE BANK LTD,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
NOVA BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.5,36.0,2026-01-02
OPTIMUS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,35.0,2026-01-02
PARALLEX BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",28.5,35.0,2026-01-02
POLARIS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,32.5,2026-01-02
PREMIUM TRUST BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",29.0,36.0,2026-01-02
PROVIDUS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",28.0,30.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",27.0,35.0,2026-01-02
SIGNATURE BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
STANBIC IBTC,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
STANDARD CHARTERED BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",27.5,48.0,2026-01-02
STERLING BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",23.0,26.0,2026-01-02
SUNTRUST BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",27.5,35.0,2026-01-02
TATUM BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-02
